"","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"380","CORRIENTES, AR",1981-01-19,0,29.8,NA,NA
"381","CORRIENTES, AR",1981-01-20,NA,23.2,36,NA
"382","CORRIENTES, AR",1981-01-21,NA,23.4,NA,19
"383","CORRIENTES, AR",1981-01-22,0,22.7,NA,16
"384","CORRIENTES, AR",1981-01-23,NA,25.7,NA,NA
"385","CORRIENTES, AR",1981-01-24,0,26.8,34,23
"386","CORRIENTES, AR",1981-01-25,7.1,25.7,NA,23
"387","CORRIENTES, AR",1981-01-26,0,27.5,NA,23
"388","CORRIENTES, AR",1981-01-27,0,28.2,33,23
"389","CORRIENTES, AR",1981-01-28,0,26.4,33,24
"390","CORRIENTES, AR",1981-01-29,48,25.8,NA,24
"391","CORRIENTES, AR",1981-01-30,8.9,26.2,32,24
"392","CORRIENTES, AR",1981-01-31,0,28.4,NA,23
"393","CORRIENTES, AR",1981-02-01,0,28.6,NA,NA
"394","CORRIENTES, AR",1981-02-02,20.1,26.9,34,23
"395","CORRIENTES, AR",1981-02-03,0,29.2,NA,25
"396","CORRIENTES, AR",1981-02-04,NA,23.5,35,NA
"397","CORRIENTES, AR",1981-02-05,0,24.6,NA,18
"398","CORRIENTES, AR",1981-02-06,0,25.2,NA,20
"399","CORRIENTES, AR",1981-02-07,NA,28.6,NA,NA
"400","CORRIENTES, AR",1981-02-08,0,28.6,NA,25
"401","CORRIENTES, AR",1981-02-09,2,24.9,35,12
"402","CORRIENTES, AR",1981-02-10,19.1,27.3,NA,23
"403","CORRIENTES, AR",1981-02-11,0,26.7,NA,25
"404","CORRIENTES, AR",1981-02-12,NA,28.1,NA,NA
"405","CORRIENTES, AR",1981-02-13,7.9,24.4,35,22
"406","CORRIENTES, AR",1981-02-14,6.1,24.1,39,21
"407","CORRIENTES, AR",1981-02-15,16,20.7,30,NA
"408","CORRIENTES, AR",1981-02-16,24.9,22.8,NA,19
"409","CORRIENTES, AR",1981-02-17,0,26.5,NA,20
"410","CORRIENTES, AR",1981-02-18,0,28.6,34,24
"411","CORRIENTES, AR",1981-02-19,0,25.9,34,24
"412","CORRIENTES, AR",1981-02-20,NA,23.6,NA,NA
"413","CORRIENTES, AR",1981-02-21,0,27.1,33,24
"414","CORRIENTES, AR",1981-02-22,0,25.5,32,21
"415","CORRIENTES, AR",1981-02-23,0,23.6,30,21
"416","CORRIENTES, AR",1981-02-24,NA,26.6,NA,NA
"417","CORRIENTES, AR",1981-02-25,0,27.6,NA,23
"418","CORRIENTES, AR",1981-02-26,0,28.2,NA,23
"419","CORRIENTES, AR",1981-02-27,0,28.7,NA,23
"420","CORRIENTES, AR",1981-02-28,0,29.1,35,24
"421","CORRIENTES, AR",1981-03-01,NA,26.9,36,NA
"422","CORRIENTES, AR",1981-03-02,11.9,25.2,NA,22
"423","CORRIENTES, AR",1981-03-03,43.9,24.3,33,22
"424","CORRIENTES, AR",1981-03-04,2,23.9,29,19
"425","CORRIENTES, AR",1981-03-05,0,25.7,NA,21
